Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
ANTON STRALMANDFLA20-21,Anton Stralman,D,FLA,20-21,Power Play,ANTON STRALMAN,38,20202021,27.11666667,14.17%,35.21%,27.81%
JACOB TROUBADNYR20-21,Jacob Trouba,D,NYR,20-21,Power Play,JACOB TROUBA,38,20202021,55.15,27.14%,37.46%,32.33%
IAN MITCHELLDCHI20-21,Ian Mitchell,D,CHI,20-21,Power Play,IAN MITCHELL,39,20202021,5.233333333,2.53%,32.86%,26.97%
SAMI VATANENDN.J/DAL20-21,Sami Vatanen,D,N.J/DAL,20-21,Power Play,SAMI VATANEN,39,20202021,8.683333333,4.75%,35.70%,32.44%
DANTE FABBRODNSH20-21,Dante Fabbro,D,NSH,20-21,Power Play,DANTE FABBRO,40,20202021,15.88333333,8.47%,32.83%,39.34%
JASON DEMERSDARI20-21,Jason Demers,D,ARI,20-21,Power Play,JASON DEMERS,41,20202021,4.866666667,2.11%,29.78%,33.14%
BEN CHIAROTDMTL20-21,Ben Chiarot,D,MTL,20-21,Power Play,BEN CHIAROT,41,20202021,9.933333333,5.27%,37.43%,29.53%
SHAYNE GOSTISBEHEREDPHI20-21,Shayne Gostisbehere,D,PHI,20-21,Power Play,SHAYNE GOSTISBEHERE,41,20202021,110.85,51.90%,38.68%,45.07%
BRIAN DUMOULINDPIT20-21,Brian Dumoulin,D,PIT,20-21,Power Play,BRIAN DUMOULIN,41,20202021,4.616666667,2.68%,32.74%,43.84%
ALEX PIETRANGELODVGK20-21,Alex Pietrangelo,D,VGK,20-21,Power Play,ALEX PIETRANGELO,41,20202021,107.9,49.83%,37.71%,46.64%
JAKUB ZBORILDBOS20-21,Jakub Zboril,D,BOS,20-21,Power Play,JAKUB ZBORIL,42,20202021,24.95,11.84%,36.26%,36.11%
JAKE BEANDCAR20-21,Jake Bean,D,CAR,20-21,Power Play,JAKE BEAN,42,20202021,38.66666667,20.97%,36.06%,30.05%
JORDAN OESTERLEDARI20-21,Jordan Oesterle,D,ARI,20-21,Power Play,JORDAN OESTERLE,43,20202021,64.65,27.81%,37.19%,44.74%
ETHAN BEARDEDM20-21,Ethan Bear,D,EDM,20-21,Power Play,ETHAN BEAR,43,20202021,23.16666667,12.12%,38.28%,33.49%
GUSTAV FORSLINGDFLA20-21,Gustav Forsling,D,FLA,20-21,Power Play,GUSTAV FORSLING,43,20202021,20.38333333,7.82%,36.58%,26.30%
VINCE DUNNDSTL20-21,Vince Dunn,D,STL,20-21,Power Play,VINCE DUNN,43,20202021,71.98333333,35.92%,34.88%,36.96%
CONNOR CLIFTONDBOS20-21,Connor Clifton,D,BOS,20-21,Power Play,CONNOR CLIFTON,44,20202021,4.25,1.94%,28.90%,29.21%
CALVIN DE HAANDCHI20-21,Calvin De Haan,D,CHI,20-21,Power Play,CALVIN DE HAAN,44,20202021,10.4,4.36%,36.21%,31.62%
CALE MAKARDCOL20-21,Cale Makar,D,COL,20-21,Power Play,CALE MAKAR,44,20202021,184.1833333,68.45%,37.67%,58.87%
TROY STECHERDDET20-21,Troy Stecher,D,DET,20-21,Power Play,TROY STECHER,44,20202021,12.66666667,5.96%,36.06%,33.10%
MATT ROYDL.A20-21,Matt Roy,D,L.A,20-21,Power Play,MATT ROY,44,20202021,19.65,8.81%,34.44%,29.57%
P.K. SUBBANDN.J20-21,P.k. Subban,D,N.J,20-21,Power Play,P.K. SUBBAN,44,20202021,87.3,41.45%,37.78%,40.59%
LIBOR HAJEKDNYR20-21,Libor Hajek,D,NYR,20-21,Power Play,LIBOR HAJEK,44,20202021,4.216666667,1.98%,36.62%,21.59%
MIKE MATHESONDPIT20-21,Mike Matheson,D,PIT,20-21,Power Play,MIKE MATHESON,44,20202021,42.76666667,24.04%,35.09%,32.38%
OLIVER EKMAN-LARSSONDARI20-21,Oliver Ekman-larsson,D,ARI,20-21,Power Play,OLIVER EKMAN-LARSSON,46,20202021,109.6833333,46.74%,37.14%,41.78%
HENRI JOKIHARJUDBUF20-21,Henri Jokiharju,D,BUF,20-21,Power Play,HENRI JOKIHARJU,46,20202021,5.1,2.46%,34.21%,38.41%
NOAH DOBSONDNYI20-21,Noah Dobson,D,NYI,20-21,Power Play,NOAH DOBSON,46,20202021,84.91666667,40.96%,37.26%,46.53%
ERIK CERNAKDT.B20-21,Erik Cernak,D,T.B,20-21,Power Play,ERIK CERNAK,46,20202021,10.3,4.27%,33.15%,30.61%
JUSTIN SCHULTZDWSH20-21,Justin Schultz,D,WSH,20-21,Power Play,JUSTIN SCHULTZ,46,20202021,73.66666667,36.43%,38.15%,48.98%
NOAH HANIFINDCGY20-21,Noah Hanifin,D,CGY,20-21,Power Play,NOAH HANIFIN,47,20202021,35.6,15.05%,41.47%,43.72%
DANNY DEKEYSERDDET20-21,Danny Dekeyser,D,DET,20-21,Power Play,DANNY DEKEYSER,47,20202021,12.93333333,6.08%,37.37%,35.59%
SEAN WALKERDL.A20-21,Sean Walker,D,L.A,20-21,Power Play,SEAN WALKER,47,20202021,72.71666667,30.85%,32.87%,31.29%
ARTEM ZUBDOTT20-21,Artem Zub,D,OTT,20-21,Power Play,ARTEM ZUB,47,20202021,3.9,1.69%,33.19%,34.27%
MARCUS PETTERSSONDPIT20-21,Marcus Pettersson,D,PIT,20-21,Power Play,MARCUS PETTERSSON,47,20202021,13.05,6.46%,31.54%,39.43%
COLIN MILLERDBUF20-21,Colin Miller,D,BUF,20-21,Power Play,COLIN MILLER,48,20202021,47.48333333,23.51%,37.90%,33.59%
SAMUEL GIRARDDCOL20-21,Samuel Girard,D,COL,20-21,Power Play,SAMUEL GIRARD,48,20202021,106.1333333,36.13%,36.10%,41.27%
SHEA WEBERDMTL20-21,Shea Weber,D,MTL,20-21,Power Play,SHEA WEBER,48,20202021,112.1833333,52.11%,42.66%,45.94%
RYAN MURRAYDN.J20-21,Ryan Murray,D,N.J,20-21,Power Play,RYAN MURRAY,48,20202021,4.116666667,1.84%,29.70%,35.03%
TY SMITHDN.J20-21,Ty Smith,D,N.J,20-21,Power Play,TY SMITH,48,20202021,119.85,52.98%,40.14%,44.78%
MATTIAS EKHOLMDNSH20-21,Mattias Ekholm,D,NSH,20-21,Power Play,MATTIAS EKHOLM,48,20202021,74.21666667,34.23%,36.37%,37.31%
ROMAN JOSIDNSH20-21,Roman Josi,D,NSH,20-21,Power Play,ROMAN JOSI,48,20202021,143.3666667,63.43%,40.43%,50.53%
BRENDAN SMITHDNYR20-21,Brendan Smith,D,NYR,20-21,Power Play,BRENDAN SMITH,48,20202021,9.05,3.66%,32.42%,21.20%
RASMUS RISTOLAINENDBUF20-21,Rasmus Ristolainen,D,BUF,20-21,Power Play,RASMUS RISTOLAINEN,49,20202021,87.06666667,41.06%,38.87%,48.64%
