Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
MARKUS NUTIVAARADFLA20-21,Markus Nutivaara,D,FLA,20-21,Even Strength,MARKUS NUTIVAARA,30,20202021,443.8666667,30.38%,28.16%,27.10%
ERIK BRANNSTROMDOTT20-21,Erik Brannstrom,D,OTT,20-21,Even Strength,ERIK BRANNSTROM,30,20202021,414.3,27.97%,28.39%,27.07%
NIKO MIKKOLADSTL20-21,Niko Mikkola,D,STL,20-21,Even Strength,NIKO MIKKOLA,30,20202021,372.6833333,24.32%,27.83%,25.95%
CONOR TIMMINSDCOL20-21,Conor Timmins,D,COL,20-21,Even Strength,CONOR TIMMINS,31,20202021,398.8666667,26.61%,28.27%,26.56%
COLTON PARAYKODSTL20-21,Colton Parayko,D,STL,20-21,Even Strength,COLTON PARAYKO,32,20202021,592.55,36.94%,29.10%,27.27%
JACOB MACDONALDDCOL20-21,Jacob Macdonald,D,COL,20-21,Even Strength,JACOB MACDONALD,33,20202021,460.6,28.66%,28.20%,27.27%
CALEB JONESDEDM20-21,Caleb Jones,D,EDM,20-21,Even Strength,CALEB JONES,33,20202021,426.5,25.77%,28.22%,26.54%
TOBIAS BJORNFOTDL.A20-21,Tobias Bjornfot,D,L.A,20-21,Even Strength,TOBIAS BJORNFOT,33,20202021,507.8166667,30.63%,28.46%,27.45%
BEN HARPURDNSH20-21,Ben Harpur,D,NSH,20-21,Even Strength,BEN HARPUR,34,20202021,500.2666667,28.81%,28.36%,26.49%
ROBERT HAGGDPHI20-21,Robert Hagg,D,PHI,20-21,Even Strength,ROBERT HAGG,34,20202021,469.2,27.59%,27.80%,26.89%
DEAN KUKANDCBJ20-21,Dean Kukan,D,CBJ,20-21,Even Strength,DEAN KUKAN,35,20202021,487.2166667,26.25%,28.22%,26.29%
ZACH WERENSKIDCBJ20-21,Zach Werenski,D,CBJ,20-21,Even Strength,ZACH WERENSKI,35,20202021,688.0166667,38.12%,28.92%,28.93%
ADAM BOQVISTDCHI20-21,Adam Boqvist,D,CHI,20-21,Even Strength,ADAM BOQVIST,35,20202021,459.9666667,26.53%,28.34%,28.33%
JOEL HANLEYDDAL20-21,Joel Hanley,D,DAL,20-21,Even Strength,JOEL HANLEY,35,20202021,437.6333333,24.03%,27.72%,25.70%
KRIS RUSSELLDEDM20-21,Kris Russell,D,EDM,20-21,Even Strength,KRIS RUSSELL,35,20202021,560.8166667,32.59%,28.73%,27.17%
AARON EKBLADDFLA20-21,Aaron Ekblad,D,FLA,20-21,Even Strength,AARON EKBLAD,35,20202021,630.15,36.52%,29.21%,28.80%
RYAN ELLISDNSH20-21,Ryan Ellis,D,NSH,20-21,Even Strength,RYAN ELLIS,35,20202021,645.8166667,37.31%,28.87%,28.68%
CAL FOOTEDT.B20-21,Cal Foote,D,T.B,20-21,Even Strength,CAL FOOTE,35,20202021,431.5666667,25.61%,28.11%,28.04%
JAN RUTTADT.B20-21,Jan Rutta,D,T.B,20-21,Even Strength,JAN RUTTA,35,20202021,498.8833333,29.48%,28.58%,28.48%
MARK PYSYKDDAL20-21,Mark Pysyk,D,DAL,20-21,Even Strength,MARK PYSYK,36,20202021,388.8166667,21.63%,27.64%,25.63%
CHRISTIAN DJOOSDDET20-21,Christian Djoos,D,DET,20-21,Even Strength,CHRISTIAN DJOOS,36,20202021,437.7333333,24.28%,27.81%,27.34%
