"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"260","Max McCormick","CAR","L","7","50.966666666667","7.2809523809524","-21.75","16.12","-17.36","-12.45","14.54","-16.15","-7.63","11.79","-16.86","-3.08","-1.54","-","-2.24","0.6","-28.28","-19.17","6.71","-24.87","-14.6","0.21","-42.79","-1.73","-0.96","-","-6.09","8.67","-17.39","-0.77","-0.51","-60.00","-4.96","12.67","-13.06","-1.11","-0.28","-80.00","0.00","100.00","1.000","12.95","12.95","8.24","45.91","61.11","22.37","15.3","18.84","54.29"
"98","Carl Gunnarsson","STL","D","8","85.866666666667","10.733333333333","-12.08","15.77","-13.88","-8.69","11.51","-12.76","-6.09","9.28","-12.75","-0.74","1.04","-16.07","-0.55","0.34","-10.50","-4.13","6.89","-12.08","0.37","3.43","-7.59","-0.81","1.47","-33.33","-6","4.61","-13.53","-0.08","-0.33","5.56","-11.72","9.51","-15.76","0.19","0","0.00","7.50","89.80","0.973","5.59","10.48","6.99","64.29","44.44","12.58","18.87","16.77","42.86"
"138","Derek Grant","ANA","C","24","279.48333333333","11.645138888889","-11.16","15.68","-11.80","-8.53","11.06","-11.46","-7.25","6.55","-12.00","-0.4","0.18","-5.87","-0.47","0.47","-9.58","-7.58","4.82","-11.96","-2.21","0.06","-5.35","-0.35","0.07","-7.41","-7.16","6.35","-16.64","0.17","0.57","-6.94","-5.07","16","-13.43","-0.56","-0.37","-60.00","9.09","91.12","1.002","8.59","13.74","16.1","45.3","34.78","14.17","19.11","26.41","34.92"
"517","Chase De Leo","ANA","C","1","13.333333333333","13.333333333333","36.38","15.54","9.98","30.31","19.91","6.86","24.2","16.77","7.58","0","9","-","1.09","4.05","-2.94","12.14","6.28","9.52","4.54","3.14","10.26","0","9","-","10.13","4.19","8.82","0","0","-","28.45","15.45","6.25","0","0","-","0.00","80.00","0.800","13.5","13.5","9","36","60.00","27","13.5","13.5","66.67"
"888","Olle Alsing","OTT","D","2","20.633333333333","10.316666666667","-21.71","15.51","-16.78","-33.38","17.97","-34.39","-31.1","19.29","-47.46","-6.18","-2.32","-","-2.65","0.73","-46.30","-20.06","2.03","-25.38","-11.78","-0.55","-36.29","-2.32","-1.55","-","-11.04","3.44","-18.89","-3.09","-1.03","-75.00","-6.32","6.01","-8.17","-2.23","0","-100.00","0.00","100.00","1.000","8.72","14.54","5.82","55.25","60.00","14.54","17.45","14.54","50.00"
"908","Jamie Drysdale","ANA","D","13","225.85","17.373076923077","-5.53","14.91","-8.90","-1.71","10.48","-6.64","2.34","9.72","-4.84","-0.35","0.12","-5.26","-0.04","0.54","-5.06","-4.13","6.28","-9.92","0.37","2.7","-4.53","-0.45","-0.23","-7.50","-6.01","4.77","-14.11","-0.56","-0.24","-30.00","-0.74","10.52","-7.03","0.75","0.37","10.00","5.83","91.16","0.970","9.03","17.27","8.77","41.44","50.75","15.67","22.05","18.86","45.38"
"346","Slater Koekkoek","EDM","D","13","136.3","10.484615384615","-1.71","14.77","-6.37","-2.04","8.53","-5.73","-1.48","1.73","-2.44","-3.58","1.64","-50.17","-0.12","0.51","-6.07","-0.1","8.45","-6.91","0.83","1.9","-2.59","-2.76","0.5","-68.75","-1.24","8.74","-9.80","-0.42","1.34","-30.00","-3.78","8.39","-7.53","-0.73","0.36","-44.44","1.47","87.65","0.891","6.6","11.01","7.48","54.15","46.88","15.41","18.49","16.29","48.61"
"898","Marc Michaelis","VAN","L","8","73.75","9.21875","-16.41","14.41","-13.70","-9.83","12.05","-12.98","-9.03","11.2","-16.05","-1.31","2.01","-43.16","-0.5","0.32","-9.24","-12.62","3.76","-17.49","-2.92","3.29","-15.74","-0.25","1.1","-33.33","-12.94","0.62","-18.48","-1.18","1.46","-62.50","-2.08","12.53","-9.47","0","0","-","4.17","92.45","0.966","14.64","14.64","7.32","56.14","66.67","19.53","17.08","13.83","58.54"
"410","Sean Malone","NSH","C","1","9.5333333333333","9.5333333333333","19.68","14.31","-0.13","2.62","17.02","-7.69","8.04","17.04","-7.14","6.29","10.79","33.33","0.09","3.93","-26.16","16.13","19.75","-8.37","3.58","13.48","-22.50","0","10.79","0.00","16.73","8.37","0.00","8.39","0","100.00","-10.46","-0.05","-6.25","0","0","-","14.29","71.43","0.857","18.88","12.59","6.29","50.35","75.00","31.47","18.88","12.59","71.43"
"630","Sami Niku","MTL, WPG","D","5","65.1","13.02","0.26","14.2","-6.18","-0.98","14.13","-8.76","0.43","7.84","-6.32","1.72","1.16","-1.79","-0.37","0.65","-10.00","5.64","2.67","2.16","1.08","1.44","-1.13","1.48","0.28","8.33","6.08","1.65","4.28","-0.91","0.37","-21.43","-3.08","14.11","-11.02","1.33","0.87","50.00","17.24","91.67","1.089","3.69","12.9","11.98","55.3","23.53","11.06","19.35","30.41","26.67"
