"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"53","Darren Helm","COL, DET","C, L","28","345.7","12.346428571429","4.93","-6.75","5.55","0.31","-5.93","3.65","-1.01","-1.72","0.49","-0.04","-0.34","1.93","0.07","-0.25","3.26","0.8","-2.97","3.65","0.12","0.64","-1.19","-0.03","0.57","-8.26","0.91","-4.81","6.90","-0.19","-0.9","10.97","2.01","-4.66","4.97","0.19","-0.03","11.43","6.88","89.66","0.965","9.89","17.01","9.2","41.48","51.82","16.31","21.35","22.04","42.53"
"794","Emil Bemstrom","CBJ","C","9","94.733333333333","10.525925925926","-0.07","-6.76","2.91","-0.62","-3.57","1.73","-3.78","-6.5","2.39","-0.67","-1.97","12.50","-0.21","-0.59","5.29","2.28","-3.35","6.23","-0.32","-2.88","8.32","-0.03","-1.14","24.56","3.46","-0.63","5.43","-0.43","-1.08","-28.57","-0.52","-0.2","-0.24","-0.47","-0.02","-33.33","4.76","95.00","0.998","6.97","12.67","9.5","48.77","42.31","13.3","14.57","15.83","45.65"
"806","Parker Kelly","OTT","L","1","6.4333333333333","6.4333333333333","-23.06","-6.85","-11.49","-21.91","-4.57","-15.87","-14.23","5.73","-26.43","0","6.71","0.00","-1.27","0.12","-27.05","-3.59","19.15","-16.17","-10.47","10.8","-57.14","0","9.33","-","9.17","11.13","2.50","0","-3.49","0.00","-18.66","-35.67","10.47","0","0","-","0.00","66.67","0.667","0","0","27.98","55.96","0.00","0","18.65","46.63","0.00"
"754","Eeli Tolvanen","NSH","R","24","287.86666666667","11.994444444444","1.66","-6.87","4.03","-0.34","-4.17","2.44","0.38","-5.7","5.17","0.3","0.21","1.28","-0.01","0.28","-2.85","-1.05","-3.42","2.53","1.22","-1.15","5.70","-0.15","0.22","-6.78","-3.03","-3.03","0.16","-0.37","0.16","-17.89","3.43","-5.01","5.73","1.14","-0.31","42.86","8.11","88.98","0.971","11.05","9.59","10.21","46.48","51.96","22.09","17.51","17.72","55.50"
"727","Zack MacEwen","VAN","C","20","178.93333333333","8.9466666666667","2.08","-6.9","3.88","2.09","-3.89","3.38","-3.11","-5.22","1.20","-0.07","-0.16","0.63","-0.03","-0.42","3.40","-1.84","-2.66","0.05","-0.2","-1","1.65","-0.2","-0.5","3.32","-2.18","-2.21","-1.04","-0.26","0.21","-8.62","3.92","-4.19","5.64","0.56","0.46","5.56","10.13","90.00","1.001","11.74","11.07","8.72","67.06","57.38","15.09","16.43","14.75","50.56"
"308","Sean Couturier","PHI","C","23","343.98333333333","14.955797101449","8.95","-6.92","7.65","9.05","-4.69","8.47","6.95","-0.9","6.50","2.03","0.4","13.45","0.34","0.05","3.06","3.44","-3.13","6.57","-0.25","-0.87","1.43","0.55","0.31","3.66","4.92","-3.01","9.98","1.09","0.15","19.05","6.66","-4.1","7.86","0.44","0.07","17.86","12.31","87.26","0.996","15.35","17.09","10.99","39.94","58.28","23.72","21.45","21.63","52.31"
"401","Tyler Lewington","NSH","D","1","13.116666666667","13.116666666667","14.31","-6.93","11.38","15.75","-8.63","15.77","18.69","0.39","12.50","9.21","4.57","-25.00","1.53","-0.22","15.12","24.7","-1.24","19.58","21.5","3.14","14.14","4.64","4.57","-33.33","4.27","-5.84","16.25","6.1","0","100.00","-10.67","-19.26","2.07","0","0","-","30.00","83.33","1.133","0","0","22.87","64.04","0.00","18.3","27.45","22.87","44.44"
"889","Alex Newhook","COL","C","4","46.95","11.7375","7.46","-6.94","6.84","8.93","-2.3","6.67","2.2","-4.56","6.76","5.24","-1.03","50.00","0.6","-0.3","9.37","5.91","0.81","3.99","0.34","-1.57","5.28","2.17","-1.92","83.33","7.42","3.17","3.50","4.09","1.19","8.33","-0.5","-2.3","2.03","0","0","-","20.83","93.75","1.146","8.95","6.39","2.56","62.62","77.78","21.73","14.06","12.78","62.96"
"92","Thomas Hickey","NYI","D","4","64.4","16.1","1.81","-7.03","4.54","2.37","-7.71","7.10","2.5","-4.77","6.75","1.65","-1.98","38.33","0.58","-0.5","12.87","-2.05","-3.92","1.71","3.7","-1.48","15.24","0.62","-0.73","23.81","-7.66","-3.26","-8.97","0.69","-1.11","66.67","3.94","-4.32","6.48","0.75","-0.6","50.00","13.79","96.30","1.101","13.04","9.32","2.8","53.11","82.35","21.43","15.84","12.11","63.89"
"514","Jake Walman","STL","D","15","201.08333333333","13.405555555556","1.53","-7.13","4.02","2.77","-5.6","5.18","2.94","-4.67","6.77","-1.06","-0.07","-12.36","0","-0.45","4.49","4.28","-4.01","7.92","1.38","-0.4","4.54","-1.73","0.86","-58.62","3.87","-4.81","10.43","0.38","-0.68","45.45","-2.25","-6.39","2.94","0.71","-0.46","40.00","5.26","89.89","0.952","12.53","10.44","7.76","61.17","61.76","20.29","16.11","13.73","59.65"
