"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"897","Benoit-Olivier Groulx","ANA","C","2","5.9833333333333","2.9916666666667","-9.88","-13.3","-8.00","-9.88","-18.69","-10.00","-9.88","-13.91","-11.76","0","-4.94","-","-0.01","-1.9","-0.12","0","-14.06","0.00","0","-24.69","-","0","-4.94","-","0","14.18","0.00","0","0","-","0","-13.39","0.00","0","0","-","-","100.00","1.00","0","0","50.14","50.14","0.00","0","0","60.17","0.00"
"245","Tyler Toffoli","L.A, MTL, VAN","C, R","123","107.58333333333","0.87466124661247","10.6","-13.34","9.97","8.51","-5.58","8.84","6.16","-10.88","10.79","0.64","-0.35","6.38","0.41","-0.28","5.09","4.81","-6.53","8.44","3.8","1.69","11.60","0.47","0.54","6.09","1.34","-10.96","5.63","0.4","-2.31","25.00","10.63","-9.58","15.79","-0.19","1.22","-6.25","9.68","83.33","0.930","0.56","5.58","40.15","63.02","1.37","1.12","8.92","49.64","2.20"
"91","Michael Grabner","ARI","L, R","46","105.2","2.2869565217391","-3.57","-13.41","-0.95","-4.2","-6.07","-2.85","-3.69","-3.76","-3.22","0.57","1.47","7.14","0.09","-0.61","2.23","2.67","-0.82","4.39","2.49","-2.24","9.78","0.57","0.81","10.00","0.24","1.89","0.00","0","0.12","0.00","-0.61","-16.76","0.59","0","0.82","0.00","4.76","85.56","0.903","2.28","7.98","38.78","47.34","5.56","2.28","12.55","51.9","4.21"
"622","Timo Meier","S.J","R","125","61.033333333333","0.48826666666667","5.83","-13.41","7.09","4.58","-9.01","6.62","6.34","-3.72","9.09","-0.15","-0.93","0.45","0.85","-0.98","12.45","5.06","-12.72","12.72","4.05","-6.2","19.91","0.42","-2.13","34.62","1.34","-8.7","6.28","-0.63","2.05","-25.00","4.9","1.67","6.40","-0.14","-0.49","-6.67","5.88","89.80","0.957","0.98","4.92","18.68","91.43","5.00","1.97","13.76","20.64","8.70"
"574","Warren Foegele","CAR, EDM","L","123","128.23333333333","1.0425474254743","-1.36","-13.5","1.39","-2.29","-12.25","1.09","-1.78","-8.35","1.14","0.63","-1.7","13.38","-0.26","-1.32","1.48","-2","-11.16","0.44","-1.34","-3.38","-1.90","0.89","-0.2","18.63","-0.89","-10.38","2.34","0.07","-1.86","31.82","2.94","-3.16","5.15","-0.15","-0.15","-9.09","14.81","89.16","1.040","1.4","7.49","15.91","85.63","8.11","5.15","14.04","21.52","19.30"
"933","Nicholas Robertson","TOR","L","6","0.71666666666667","0.11944444444444","-19.44","-13.5","-16.67","-19.44","-5.17","-17.95","-16.67","28.17","-23.08","-2.78","72.61","-20.00","-1.74","12.52","-16.28","-11.11","-55.56","-","-8.33","-22.22","-","-2.78","-8.33","-","-3.7","-44.44","-","0","0","-","0","-60.19","-","0","-4.01","0.00","-","0.00","0.00","0","0","0","167.44","-","0","0","0","-"
"308","Travis Boyd","ARI, TOR, VAN, WSH","C","64","9.1333333333333","0.14270833333333","-8.29","-13.54","-6.43","-7.36","-12.45","-6.54","-5.69","-21.27","-0.50","-0.93","-0.3","-11.90","-0.81","-2.5","-11.97","-7.24","-20.71","-13.36","-2.23","-9.59","-12.12","-0.37","-1.67","-","-6.69","-14.83","-13.99","-0.5","2.57","-7.41","-4.02","2.75","-6.91","0","-0.8","0.00","0.00","75.00","0.750","0","6.57","26.28","59.12","0.00","0","13.14","39.42","0.00"
"628","Sebastian Aho","CAR","C, R","126","219.46666666667","1.7417989417989","9.46","-13.55","10.55","9.43","-6.08","11.05","8.63","-4.99","12.92","2.3","-0.63","26.61","2.33","-0.65","24.42","7.81","-0.9","12.44","5.68","-3.31","20.68","1.01","-0.73","25.71","2.83","3.22","5.28","0.78","1.34","10.61","1.15","-17.34","5.36","0.22","-1.31","40.91","15.07","88.08","1.031","2.73","2.73","7.93","88.03","25.64","4.37","6.56","10.39","29.63"
"168","Gustav Nyquist","CBJ","C","72","49.15","0.68263888888889","-3.4","-13.68","-0.75","-2.01","-10.9","0.36","-1.61","-8.53","0.61","0.75","1.16","7.14","1.17","-0.95","17.71","-2.23","-8.4","-1.87","0.82","-4.69","10.83","0","-0.44","0.00","-4.06","-4.95","-7.90","-0.32","-1.22","-10.00","2.31","-4.89","4.04","1.76","3.63","20.00","12.50","81.82","0.943","2.44","7.32","12.21","87.89","16.67","2.44","14.65","21.97","10.00"
"248","Stephen Johns","DAL","D","17","10.733333333333","0.63137254901961","-10.18","-13.73","-6.86","-9.2","-16.05","-7.14","-6.24","-4.23","-7.35","0","-2.62","0.00","-0.33","-0.76","-2.52","-4.27","-11.79","-3.70","1.65","10.21","-1.52","0","-0.32","0.00","-7.89","-29.33","-11.76","0","2.2","0.00","-1.42","-2.79","-1.85","0","-5.7","0.00","0.00","80.00","0.800","0","0","27.95","61.49","0.00","0","0","50.31","0.00"
