"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"44","Michael Houser","BUF","4","9.35","2.3375","57.75","51.34","0.889","6.42","1.36","4.92","19.25","12.83","0.667","6.42","-2.07","25.67","25.67","1.000","0.00","3.66","12.83","12.83","1.000","0.00","0.89","0","0","27.78","12.00"
"75","Elvis Merzlikins","CBJ","60","214.43333333333","3.5738888888889","44.77","39.73","0.888","5.04","0.99","5.28","9.79","8.39","0.857","1.40","0.81","15.67","13.43","0.857","2.24","0.00","19.03","17.63","0.926","1.40","-0.07","0.28","3.64","32.51","28.78"
"105","Alexandar Georgiev","NYR","53","268.36666666667","5.0635220125786","55.89","49.63","0.888","6.26","1.27","7.35","17.66","15.2","0.861","2.46","1.52","15.65","12.52","0.800","3.13","-0.90","22.58","21.91","0.970","0.67","0.90","0.67","6.48","30.09","24.04"
"57","Chris Driedger","FLA","35","155.55","4.4442857142857","51.3","45.52","0.887","5.79","1.12","6.13","10.41","8.1","0.778","2.31","0.03","15.04","12.73","0.846","2.31","-0.17","25.07","24.3","0.969","0.77","0.97","0.39","4.24","33.29","26.47"
"40","Philipp Grubauer","COL","76","392.46666666667","5.1640350877193","53.81","47.7","0.886","6.12","1.13","6.46","14.83","12.38","0.835","2.45","0.90","12.84","10.85","0.845","1.99","-0.16","26.14","24.46","0.936","1.68","0.14","0.61","8.26","32.63","25.53"
"74","Jonas Johansson","BUF, COL","21","78.533333333333","3.7396825396825","53.48","47.37","0.886","6.11","1.09","6.54","18.34","13.75","0.750","4.58","-0.45","12.99","12.22","0.941","0.76","1.09","22.16","21.39","0.966","0.76","0.78","1.53","6.88","31.71","23.38"
"19","Ben Bishop","DAL","44","210.08333333333","4.7746212121212","54.84","48.55","0.885","6.28","1.10","6.73","15.14","12","0.792","3.14","0.27","14.85","12.85","0.865","2.00","0.12","24.56","23.42","0.953","1.14","0.57","1.14","7.43","30.41","18.64"
"29","Martin Jones","S.J","75","406.06666666667","5.4142222222222","51.42","45.51","0.885","5.91","1.01","6.21","15.37","12.41","0.808","2.96","0.51","16.11","14.48","0.899","1.63","0.67","19.8","18.47","0.933","1.33","0.05","0","6.5","30.44","23.23"
"35","Cam Talbot","CGY, MIN","59","247.38333333333","4.1929378531073","56.75","50.21","0.885","6.55","1.09","6.97","13.58","10.91","0.804","2.67","0.40","17.46","14.55","0.833","2.91","-0.42","25.22","24.25","0.962","0.97","0.79","1.21","7.76","32.50","21.33"
"99","Cayden Primeau","MTL","6","27.283333333333","4.5472222222222","57.18","50.58","0.885","6.60","1.10","6.44","13.19","8.8","0.667","4.40","-1.42","8.8","8.8","1.000","0.00","1.26","35.19","32.99","0.938","2.20","0.25","2.2","6.6","37.50","24.00"
