Date,Visitor,A_G,Home,H_G,Notes
21-03-19,Calgary Flames,4,Toronto Maple Leafs,3,
21-03-19,New York Rangers,1,Washington Capitals,2,
21-03-20,Arizona Coyotes,5,Anaheim Ducks,1,
21-03-20,Columbus Blue Jackets,3,Carolina Hurricanes,2,SO
21-03-20,Minnesota Wild,0,Colorado Avalanche,6,
21-03-20,Dallas Stars,3,Detroit Red Wings,0,
21-03-20,Winnipeg Jets,2,Edmonton Oilers,4,
21-03-20,Nashville Predators,0,Florida Panthers,2,
21-03-20,Vancouver Canucks,4,Montreal Canadiens,5,SO
21-03-20,Pittsburgh Penguins,3,New Jersey Devils,1,
21-03-20,Philadelphia Flyers,1,New York Islanders,6,
21-03-20,St. Louis Blues,5,San Jose Sharks,2,
21-03-20,Chicago Blackhawks,1,Tampa Bay Lightning,4,
21-03-20,Calgary Flames,0,Toronto Maple Leafs,2,
21-03-20,New York Rangers,3,Washington Capitals,1,
21-03-21,Nashville Predators,4,Dallas Stars,3,SO
21-03-21,Vegas Golden Knights,1,Los Angeles Kings,3,
21-03-21,New Jersey Devils,2,Pittsburgh Penguins,1,OT
21-03-21,Florida Panthers,3,Tampa Bay Lightning,5,
21-03-22,Colorado Avalanche,5,Arizona Coyotes,1,
21-03-22,Carolina Hurricanes,3,Columbus Blue Jackets,0,
21-03-22,Anaheim Ducks,1,Minnesota Wild,2,
21-03-22,Buffalo Sabres,3,New York Rangers,5,
21-03-22,Calgary Flames,1,Ottawa Senators,2,
21-03-22,New York Islanders,2,Philadelphia Flyers,1,OT
21-03-22,Los Angeles Kings,1,San Jose Sharks,2,
21-03-22,Winnipeg Jets,4,Vancouver Canucks,0,
21-03-22,St. Louis Blues,1,Vegas Golden Knights,5,
21-03-23,Colorado Avalanche,4,Arizona Coyotes,5,SO
21-03-23,Florida Panthers,2,Chicago Blackhawks,3,
21-03-23,Tampa Bay Lightning,2,Dallas Stars,1,
21-03-23,Detroit Red Wings,0,Nashville Predators,2,
21-03-23,New Jersey Devils,4,Philadelphia Flyers,3,
21-03-24,Anaheim Ducks,2,Minnesota Wild,3,
21-03-24,Calgary Flames,1,Ottawa Senators,3,
21-03-24,Buffalo Sabres,2,Pittsburgh Penguins,5,
21-03-24,Los Angeles Kings,2,San Jose Sharks,4,
21-03-24,Winnipeg Jets,5,Vancouver Canucks,1,
21-03-25,New York Islanders,4,Boston Bruins,3,OT
21-03-25,Carolina Hurricanes,4,Columbus Blue Jackets,3,OT
21-03-25,Florida Panthers,0,Chicago Blackhawks,3,
