"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"460","Jayce Hawryluk","VAN","C","16","1.6333333333333","0.10208333333333","-110.32","-14.47","-","-77.77","-11.76","-","-56.97","-9.95","-","-8.14","-0.9","-","-7.38","-1.15","-","-69.63","-9.95","-","-27.13","-3.62","-","-4.52","-0.9","-","-56.67","-8.44","-","0","0","-","-58.78","-5.22","-","-5.22","0","-100.00","-","-","-","0","36.73","36.73","36.73","0.00","0","36.73","36.73","0.00"
"728","Oliver Wahlstrom","NYI","R","21","31.75","1.5119047619048","26.59","-14.51","16.06","27.87","-12.72","19.65","18.78","-14.61","24.73","10.21","0","0.00","5.23","-0.94","16.12","29.46","-9.81","19.51","25.63","-3.68","18.75","9.55","0","0.00","5.1","-8.17","20.00","0.88","0","0.00","-3.33","1.1","-2.87","0","0","-","25.00","100.00","1.250","39.69","5.67","0","18.9","100.00","51.02","15.12","0","100.00"
"743","Vitali Kravtsov","NYR","R","11","2.2","0.2","-13.55","-14.51","10.58","3.6","-9.23","8.05","11.93","-6.59","8.62","-14.51","0","-","-0.06","-0.41","3.77","7.97","-5.27","6.67","21.58","0","0.00","-9.23","0","-","-18.14","-7.03","11.43","-1.76","0","-100.00","-31.08","-3.81","5.13","-5.71","0","-100.00","0.00","-","0.00","27.27","0","0","109.09","100.00","27.27","0","0","100.00"
"469","Warren Foegele","CAR, EDM","L","28","6.1","0.21785714285714","-58.71","-14.53","10.98","-37.99","-12.52","12.56","-19.77","-10.02","14.49","-2.69","-1","7.41","-5.93","-0.89","8.75","-45.96","-7.01","9.66","-28.56","-3.51","-","-6.01","-1","-","-23.2","-4.68","8.64","7.1","0","0.00","-16.26","-5.79","7.34","-2.89","0","-100.00","25.00","-","0.25","29.51","29.51","0","68.85","100.00","49.18","29.51","0","100.00"
"356","Ben Hutton","ANA, TOR","D","20","1.9","0.095","-68.8","-14.55","12.66","-44.07","-14.55","16.13","-48.01","-10.18","-","-2.18","-1.45","-","-2.97","-0.88","13.64","-21.52","-6.55","10.98","-12.37","-2.18","-","-0.73","-0.73","-","-12.21","-5.82","9.68","-0.97","0","-100.00","-68.3","-2.1","-","-1.05","0","-100.00","-","-","-","31.58","0","0","157.89","100.00","31.58","0","0","100.00"
"142","Antoine Roussel","ARI, VAN","L","22","0.68333333333333","0.031060606060606","-104.59","-14.64","-","-75.31","-13.07","-","-51.25","-10.98","-","-7.84","-1.57","-","-6.89","-1.08","-","-61.19","-8.37","-","-20.92","-4.71","-","-4.71","-1.05","-","-53.69","-4.88","-","-2.79","-0.7","-80.00","-60.43","-1.51","-","-1.51","0","-100.00","-","-","-","87.8","0","0","175.61","100.00","87.8","0","0","100.00"
"111","Jay Beagle","ARI, VAN","C","20","2.5833333333333","0.12916666666667","-101.22","-14.69","-","-71.29","-13.61","-","-47.35","-11.97","-","-7.62","-1.63","-","-6.49","-0.94","-","-57.14","-7.62","-","-21.22","-4.35","-","-4.35","-0.54","-","-47.89","-4.35","-","-2.9","-1.45","-66.67","-61.32","-0.79","-","-1.57","0","-100.00","-","-","-","92.9","0","0","69.68","100.00","116.13","0","0","100.00"
"329","Colton Parayko","STL","D","19","5.6666666666667","0.29824561403509","-25.18","-14.69","11.79","-9.57","-11.5","12.08","-35.95","-7.67","10.17","2.28","0","0.00","-3.11","-0.91","11.24","-15.51","-6.39","11.90","-14.06","-3.19","-","-1.92","0","-","-1.94","-4.26","8.77","8.15","0","0.00","-10.27","-7.38","7.84","-2.77","0","-100.00","33.33","-","0.33","52.94","0","0","127.06","100.00","95.29","21.18","0","100.00"
"139","Cam Atkinson","CBJ, PHI","R","32","75.233333333333","2.3510416666667","2.14","-14.7","14.08","3.1","-9.16","11.34","6.42","-7.85","13.92","0.59","-1.06","12.50","-0.11","-1.03","15.34","1.82","-4.2","11.06","0.87","-0.77","6.25","1.34","0","0.00","1.26","-4.56","14.34","1.78","-1.41","50.00","-1.09","-13.31","17.03","-1.49","0","0.00","17.54","100.00","1.175","31.1","7.98","0.8","15.15","97.50","49.45","9.57","1.6","96.88"
"228","Michael Chaput","ARI","C","4","0.11666666666667","0.029166666666667","-55.88","-14.71","-","-47.06","-14.71","-","-20.59","-14.71","-","-2.94","0","-","-4.71","-1.4","-","-38.24","-8.82","-","-20.59","-5.88","-","0","0","-","-23.53","-3.92","-","-3.92","0","-100.00","-25.49","-8.5","-","0","0","-","-","-","-","0","0","0","1028.57","-","0","0","0","-"
