Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
BEN HUTTONDANA/TOR20-21,Ben Hutton,D,ANA/TOR,20-21,Penalty Kill,BEN HUTTON,38,20202021,88.36666667,47.24%,47.49%,36.57%
JACOB BRYSONDBUF20-21,Jacob Bryson,D,BUF,20-21,Penalty Kill,JACOB BRYSON,38,20202021,79.86666667,48.69%,52.42%,41.36%
NIKITA NESTEROVDCGY20-21,Nikita Nesterov,D,CGY,20-21,Penalty Kill,NIKITA NESTEROV,38,20202021,49.31666667,27.25%,46.45%,30.24%
ANTON STRALMANDFLA20-21,Anton Stralman,D,FLA,20-21,Penalty Kill,ANTON STRALMAN,38,20202021,60.6,32.81%,44.76%,38.34%
JACOB TROUBADNYR20-21,Jacob Trouba,D,NYR,20-21,Penalty Kill,JACOB TROUBA,38,20202021,85.43333333,46.11%,49.23%,35.60%
LUKE SCHENNDT.B20-21,Luke Schenn,D,T.B,20-21,Penalty Kill,LUKE SCHENN,38,20202021,12.4,5.96%,39.91%,30.77%
TRAVIS HAMONICDVAN20-21,Travis Hamonic,D,VAN,20-21,Penalty Kill,TRAVIS HAMONIC,38,20202021,72.01666667,36.87%,50.27%,38.54%
IAN MITCHELLDCHI20-21,Ian Mitchell,D,CHI,20-21,Penalty Kill,IAN MITCHELL,39,20202021,13.96666667,7.37%,41.08%,31.85%
SAMI VATANENDN.J/DAL20-21,Sami Vatanen,D,N.J/DAL,20-21,Penalty Kill,SAMI VATANEN,39,20202021,76.16666667,45.31%,53.51%,38.63%
JORDIE BENNDVAN/WPG20-21,Jordie Benn,D,VAN/WPG,20-21,Penalty Kill,JORDIE BENN,39,20202021,52.91666667,28.79%,46.15%,42.51%
TUCKER POOLMANDWPG20-21,Tucker Poolman,D,WPG,20-21,Penalty Kill,TUCKER POOLMAN,39,20202021,51.53333333,29.46%,48.35%,40.74%
DANTE FABBRODNSH20-21,Dante Fabbro,D,NSH,20-21,Penalty Kill,DANTE FABBRO,40,20202021,56.96666667,26.75%,49.12%,35.82%
