"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"219","Erik Gudbranson","NSH, OTT","D","45","3.0333333333333","0.067407407407407","39.56","59.34","40.00","39.56","59.34","40.00","39.56","59.34","40.00","0","19.78","0.00","1.96","2.12","48.03","0","19.78","0.00","0","0","-","0","0","-","0","26.37","0.00","0","0","-","57.14","57.14","50.00","0","28.57","0.00","0.00","66.67","0.667","79.12","0","0","296.7","100.00","79.12","19.78","19.78","80.00"
"823","Tyce Thompson","N.J","R","7","1.0166666666667","0.1452380952381","118.03","59.02","66.67","118.03","59.02","66.67","118.03","59.02","66.67","0","0","-","5.54","9.23","37.50","0","59.02","0.00","0","59.02","0.00","0","0","-","0","0","-","0","0","-","170.49","0","100.00","0","0","-","0.00","100.00","1.000","0","59.02","0","177.05","-","59.02","59.02","0","100.00"
"383","Carson Soucy","MIN","D","50","4.1833333333333","0.083666666666667","28.69","57.37","33.33","14.34","57.37","20.00","14.34","43.03","25.00","0","0","-","1.63","0.5","76.69","14.34","0","100.00","0","0","-","0","0","-","19.12","0","100.00","0","0","-","0","41.43","0.00","0","0","-","0.00","100.00","1.000","28.69","0","0","157.77","100.00","28.69","0","0","100.00"
"506","Ondrej Kase","BOS","R","3","1.05","0.35","0","57.14","0.00","0","57.14","0.00","0","57.14","0.00","0","0","-","0","7.43","0.00","0","57.14","0.00","0","57.14","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","114.29","-","0","0","0","-"
"668","Rhett Gardner","DAL","C","28","2.1","0.075","85.71","57.14","60.00","57.14","57.14","50.00","57.14","57.14","50.00","0","0","-","3.67","5.74","38.99","28.57","28.57","50.00","0","0","-","0","0","-","38.1","38.1","50.00","0","0","-","82.54","41.27","66.67","0","0","-","0.00","100.00","1.000","57.14","0","0","114.29","100.00","85.71","0","0","100.00"
"216","Chris Wagner","BOS","R","41","2.3166666666667","0.05650406504065","51.8","51.8","50.00","51.8","51.8","50.00","0","51.8","0.00","0","0","-","2.8","1.07","72.32","25.9","0","100.00","0","0","-","0","0","-","34.53","0","100.00","0","0","-","0","37.41","0.00","0","0","-","-","100.00","1.00","25.9","25.9","25.9","258.99","50.00","25.9","25.9","51.8","33.33"
"11","Braydon Coburn","NYI, OTT","D","19","1.1666666666667","0.06140350877193","102.86","51.43","66.67","102.86","51.43","66.67","102.86","51.43","66.67","0","0","-","7.51","4.86","60.72","0","51.43","0.00","0","51.43","0.00","0","0","-","0","0","-","0","0","-","148.57","0","100.00","0","0","-","0.00","100.00","1.000","102.86","0","0","360","100.00","102.86","0","0","100.00"
"539","Glenn Gawdin","CGY","C","7","1.1833333333333","0.16904761904762","101.41","50.7","66.67","50.7","50.7","50.00","50.7","0","100.00","0","0","-","2.43","3.18","43.27","0","50.7","0.00","0","0","-","0","0","-","0","67.61","0.00","0","0","-","146.48","0","100.00","0","0","-","0.00","-","0.00","0","0","0","50.7","-","0","0","0","-"
"446","Tomas Nosek","VGK","L","38","2.4833333333333","0.065350877192982","96.64","48.32","66.67","72.48","48.32","60.00","72.48","48.32","60.00","24.16","0","100.00","4.94","5.19","48.78","48.32","48.32","50.00","0","48.32","0.00","0","0","-","64.43","0","100.00","32.21","0","100.00","34.9","0","100.00","0","0","-","33.33","100.00","1.333","120.81","0","0","217.45","100.00","169.13","0","0","100.00"
"309","Ryan Murray","N.J","D","48","3.7333333333333","0.077777777777778","16.07","48.21","25.00","16.07","48.21","25.00","16.07","32.14","33.33","0","0","-","1.56","1.27","55.10","16.07","16.07","50.00","16.07","0","100.00","0","0","-","0","21.43","0.00","0","0","-","0","46.43","0.00","0","0","-","0.00","100.00","1.000","64.29","48.21","16.07","96.43","80.00","64.29","48.21","16.07","80.00"
