"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"96","Jake Oettinger","DAL","29","112.83333333333","3.8908045977011","10.1","10.1","1.000","0.00","0.80","0.65","1.06","1.06","1.000","0.00","0.22","2.66","2.66","1.000","0.00","0.23","2.13","2.13","1.000","0.00","0.07","1.06","0","81.32","-"
"97","Michael Dipietro","VAN","1","1.65","1.65","72.73","72.73","1.000","0.00","5.75","7.24","36.36","36.36","1.000","0.00","7.53","0","0","-","0.00","0.00","36.36","36.36","1.000","0.00","1.28","0","0","33.00","-"
"100","Hunter Miska","COL","5","24.9","4.98","12.05","12.05","1.000","0.00","0.95","0.76","4.82","4.82","1.000","0.00","1.00","2.41","2.41","1.000","0.00","0.21","0","0","-","0.00","0.00","7.23","0","65.00","-"
"101","Matiss Kivlenieks","CBJ","8","19.366666666667","2.4208333333333","6.2","6.2","1.000","0.00","0.49","0.53","3.1","3.1","1.000","0.00","0.64","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","76.00","-"
"105","Josef Korenar","S.J","10","46.35","4.635","7.77","7.77","1.000","0.00","0.61","1.12","5.18","5.18","1.000","0.00","1.07","1.29","1.29","1.000","0.00","0.11","0","0","-","0.00","0.00","5.18","1.29","42.50","-"
"108","Pavel Francouz","COL","34","168.78333333333","4.9642156862745","12.44","12.44","1.000","0.00","0.98","0.75","0.71","0.71","1.000","0.00","0.15","4.27","4.27","1.000","0.00","0.37","2.13","2.13","1.000","0.00","0.07","2.13","0.36","80.83","-"
"111","Ivan Prosvetov","ARI","3","12.983333333333","4.3277777777778","13.86","13.86","1.000","0.00","1.10","0.89","9.24","9.24","1.000","0.00","1.91","0","0","-","0.00","0.00","0","0","-","0.00","0.00","4.62","4.62","58.00","-"
"112","Spencer Knight","FLA","4","21.566666666667","5.3916666666667","8.35","8.35","1.000","0.00","0.66","0.62","2.78","2.78","1.000","0.00","0.58","2.78","2.78","1.000","0.00","0.24","0","0","-","0.00","0.00","0","0","58.00","-"
"113","Alexei Melnichuk","S.J","3","6","2","10","10","1.000","0.00","0.79","0.54","0","0","-","0.00","0.00","10","10","1.000","0.00","0.88","0","0","-","0.00","0.00","0","0","26.00","-"
"6","Marc-Andre Fleury","VGK","85","390.51666666667","4.5943137254902","7.22","7.07","0.979","0.15","0.42","0.5","2","1.84","0.923","0.15","0.26","1.84","1.84","1.000","0.00","0.16","0.61","0.61","1.000","0.00","0.02","1.23","0.46","71.72","21.00"
"60","Connor Hellebuyck","WPG","103","461.51666666667","4.4807443365696","12.22","11.96","0.979","0.26","0.71","0.91","3.25","2.99","0.920","0.26","0.41","2.21","2.21","1.000","0.00","0.19","1.69","1.69","1.000","0.00","0.06","1.95","0.78","78.37","14.50"
"13","Thomas Greiss","DET, NYI","65","231.5","3.5615384615385","10.63","10.37","0.976","0.26","0.58","0.71","3.63","3.37","0.929","0.26","0.49","2.33","2.33","1.000","0.00","0.20","1.81","1.81","1.000","0.00","0.06","1.04","0.26","57.83","16.00"
"19","Ben Bishop","DAL","44","191.53333333333","4.3530303030303","11.9","11.59","0.974","0.31","0.63","0.62","2.19","2.19","1.000","0.00","0.45","1.57","1.25","0.800","0.31","-0.18","2.19","2.19","1.000","0.00","0.08","2.82","0.31","84.87","44.00"
