"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"705","Jonas Rondbjerg","VGK","R","1","0.33333333333333","0.33333333333333","0","180","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","180","0","0.00","0","0","180","0.00"
"186","Kevin Connauton","FLA","D","9","2.7833333333333","0.30925925925926","21.56","172.46","11.11","21.56","172.46","11.11","21.56","107.78","16.67","0","43.11","0.00","0.31","21.91","1.42","0","107.78","0.00","0","64.67","0.00","0","21.56","0.00","0","57.49","0.00","0","0","-","31.14","93.41","25.00","0","31.14","0.00","0.00","60.00","0.600","0","21.56","21.56","86.23","0.00","0","21.56","21.56","0.00"
"531","Jack Eichel","BUF","C","21","1.4","0.066666666666667","0","171.43","0.00","0","171.43","0.00","0","171.43","0.00","0","42.86","0.00","0","40.08","0.00","0","128.57","0.00","0","128.57","0.00","0","42.86","0.00","0","0","-","0","0","-","0","61.9","0.00","0","0","-","-","75.00","0.75","0","0","85.71","171.43","0.00","0","0","85.71","0.00"
"768","Mattias Samuelsson","BUF","D","12","21.616666666667","1.8013888888889","5.55","166.54","3.23","2.78","155.44","1.75","2.78","99.92","2.70","0","11.1","0.00","0.01","13.37","0.05","0","108.25","0.00","0","36.08","0.00","0","2.78","0.00","0","96.22","0.00","0","3.7","0.00","4.01","80.19","4.76","0","8.02","0.00","0.00","88.89","0.889","0","5.55","33.31","22.21","0.00","0","8.33","61.06","0.00"
"270","Steven Fogarty","BUF","C","9","1.8166666666667","0.20185185185185","0","165.14","0.00","0","132.11","0.00","0","132.11","0.00","0","66.06","0.00","0","9.79","0.00","0","66.06","0.00","0","66.06","0.00","0","33.03","0.00","0","0","-","0","0","-","0","143.12","0.00","0","47.71","0.00","-","50.00","0.50","0","0","66.06","33.03","0.00","0","0","66.06","0.00"
"509","Clark Bishop","OTT","C","13","4.3833333333333","0.33717948717949","13.69","164.26","7.69","13.69","82.13","14.29","13.69","13.69","50.00","0","0","-","0.73","10.25","6.65","13.69","109.51","11.11","0","41.06","0.00","0","0","-","18.25","91.25","16.67","0","0","-","0","79.09","0.00","0","0","-","0.00","100.00","1.000","0","13.69","13.69","68.44","0.00","0","13.69","27.38","0.00"
"375","Christian Djoos","DET","D","36","0.36666666666667","0.010185185185185","0","163.64","0.00","0","163.64","0.00","0","163.64","0.00","0","0","-","0","8.55","0.00","0","163.64","0.00","0","0","-","0","0","-","0","218.18","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","163.64","163.64","327.27","0.00","0","163.64","163.64","0.00"
"510","Dakota Joshua","STL","C","12","2.2","0.18333333333333","0","163.64","0.00","0","109.09","0.00","0","81.82","0.00","0","27.27","0.00","0","6.42","0.00","0","136.36","0.00","0","27.27","0.00","0","27.27","0.00","0","145.45","0.00","0","0","-","0","39.39","0.00","0","0","-","-","66.67","0.67","0","27.27","27.27","81.82","0.00","0","27.27","27.27","0.00"
"788","Jacob Bernard-Docker","OTT","D","5","1.8666666666667","0.37333333333333","0","160.71","0.00","0","96.43","0.00","0","96.43","0.00","0","0","-","0","9.7","0.00","0","96.43","0.00","0","32.14","0.00","0","0","-","0","85.71","0.00","0","0","-","0","92.86","0.00","0","0","-","-","100.00","1.00","0","0","32.14","160.71","0.00","0","0","32.14","0.00"
"272","Logan Shaw","OTT","R","4","1.1666666666667","0.29166666666667","0","154.29","0.00","0","102.86","0.00","0","102.86","0.00","0","51.43","0.00","0","5.09","0.00","0","102.86","0.00","0","0","-","0","0","-","0","137.14","0.00","0","0","-","0","74.29","0.00","0","74.29","0.00","-","50.00","0.50","0","0","51.43","51.43","0.00","0","0","102.86","0.00"
"103","Max Pacioretty","VGK","L","50","2.3833333333333","0.047666666666667","100.7","151.05","40.00","100.7","100.7","50.00","75.52","75.52","50.00","0","25.17","0.00","28.99","13.92","67.56","50.35","100.7","33.33","50.35","25.17","66.67","0","0","-","0","100.7","0.00","0","0","-","36.36","36.36","50.00","0","0","-","0.00","66.67","0.667","25.17","50.35","0","226.57","100.00","50.35","50.35","25.17","66.67"
"667","Tarmo Reunanen","NYR","D","4","0.41666666666667","0.10416666666667","0","144","0.00","0","144","0.00","0","144","0.00","0","144","0.00","0","8.94","0.00","0","144","0.00","0","0","-","0","0","-","0","192","0.00","0","192","0.00","0","0","-","0","0","-","-","0.00","0.00","0","0","0","288","-","0","0","0","-"
"392","Will Butcher","BUF, N.J","D","26","1.2666666666667","0.048717948717949","94.74","142.11","40.00","47.37","94.74","33.33","47.37","94.74","33.33","0","47.37","0.00","2.6","3.9","39.98","47.37","47.37","50.00","0","0","-","0","0","-","63.16","63.16","50.00","0","63.16","0.00","68.42","136.84","33.33","0","0","-","0.00","50.00","0.500","47.37","0","47.37","142.11","50.00","47.37","0","47.37","50.00"
"760","Martin Fehervary","WSH","D","4","6.9","1.725","26.09","139.13","15.79","17.39","113.04","13.33","0","60.87","0.00","0","8.7","0.00","0.28","12.17","2.26","0","78.26","0.00","0","52.17","0.00","0","8.7","0.00","0","34.78","0.00","0","0","-","25.12","62.8","28.57","0","0","-","-","85.71","0.86","0","17.39","34.78","43.48","0.00","0","17.39","43.48","0.00"
"212","Tyler Pitlick","ARI, CGY","C","39","80.3","2.0589743589744","10.46","137.48","7.07","8.22","101.62","7.48","5.98","73.23","7.55","0.75","8.97","7.69","0.25","9.48","2.52","1.49","65.75","2.22","0.75","25.4","2.86","0","4.48","0.00","1","53.8","1.82","0","2.99","0.00","5.4","100.37","5.10","1.08","3.24","25.00","12.50","87.76","1.003","1.49","5.23","49.32","41.1","2.94","2.99","6.72","62.02","4.60"
"814","Kaapo Kakko","NYR","R","51","4.3833333333333","0.085947712418301","0","136.88","0.00","0","123.19","0.00","0","95.82","0.00","0","27.38","0.00","0","10.31","0.00","0","109.51","0.00","0","27.38","0.00","0","13.69","0.00","0","109.51","0.00","0","0","-","0","39.54","0.00","0","19.77","0.00","-","71.43","0.71","0","0","41.06","68.44","0.00","0","0","54.75","0.00"
"39","Paul Stastny","WPG","C","60","11.483333333333","0.19138888888889","10.45","135.85","7.14","5.22","104.5","4.76","5.22","57.47","8.33","0","5.22","0.00","0.01","7.93","0.09","0","41.8","0.00","0","20.9","0.00","0","5.22","0.00","0","27.87","0.00","0","0","-","7.55","128.3","5.56","0","0","-","0.00","90.91","0.909","10.45","10.45","31.35","83.6","25.00","10.45","20.9","36.57","22.22"
"818","Victor Soderstrom","ARI","D","7","0.88333333333333","0.12619047619048","0","135.85","0.00","0","135.85","0.00","0","135.85","0.00","0","0","-","0","9.05","0.00","0","67.92","0.00","0","0","-","0","0","-","0","90.57","0.00","0","0","-","0","98.11","0.00","0","0","-","-","100.00","1.00","0","0","0","67.92","-","0","0","135.85","0.00"
"361","Dominic Toninato","WPG","C","3","2.2166666666667","0.73888888888889","0","135.34","0.00","0","81.2","0.00","0","54.14","0.00","0","27.07","0.00","0","5.46","0.00","0","54.14","0.00","0","27.07","0.00","0","27.07","0.00","0","36.09","0.00","0","0","-","0","117.29","0.00","0","0","-","-","50.00","0.50","0","0","0","81.2","-","0","0","0","-"
